Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
KD-7299P4,រ៉ូប ឈូក(4),,KD168,1,5,20,10, No Tax, exclusive,KD7299,100=1_20|110=1_20|120=1_20|130=1_20|140=1_20|150=1_20,,,,,,,,,,,,no_image.png,standard
KD-7299Bl5,រ៉ូប ផ្ទៃមេឃ(5),,KD168,1,5,20,10, No Tax, exclusive,KD7299,100=1_20|110=1_20|120=1_20|130=1_20|140=1_20|150=1_20,,,,,,,,,,,,no_image.png,standard
KD-7286R,រ៉ូប ក្រហម,,KD168,1,5,15,10, No Tax, exclusive,KD7286,110=1_15|120=1_15|130=1_15|140=1_15|150=1_15|160=1_15,,,,,,,,,,,,no_image.png,standard
KD-7286W,រ៉ូប ស,,KD168,1,5,15,10, No Tax, exclusive,KD7286,110=1_15|120=1_15|130=1_15|140=1_15|150=1_15|160=1_15,,,,,,,,,,,,no_image.png,standard
KD-7562B,រ៉ូប ខ្មៅ,,KD168,1,5,14,10, No Tax, exclusive,KD7562,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7562R,រ៉ូប ក្រហម,,KD168,1,5,14,10, No Tax, exclusive,KD7562,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7453Br,រ៉ូប ត្នោត,,KD168,1,5,17,10, No Tax, exclusive,KD7453,110=1_17|120=1_17|130=1_17|140=1_17|150=1_17|160=1_17,,,,,,,,,,,,no_image.png,standard
KD-7453P,រ៉ូប ឈូក,,KD168,1,5,17,10, No Tax, exclusive,KD7453,110=1_17|120=1_17|130=1_17|140=1_17|150=1_17|160=1_17,,,,,,,,,,,,no_image.png,standard
KD-7453B,រ៉ូប ខ្មៅ,,KD168,1,5,17,10, No Tax, exclusive,KD7453,110=1_17|120=1_17|130=1_17|140=1_17|150=1_17|160=1_17,,,,,,,,,,,,no_image.png,standard
KD-7601,រ៉ូប,,KD168,1,5,15,10, No Tax, exclusive,KD7601,120=1_15|130=1_15|140=1_15|150=1_15|160=1_15,,,,,,,,,,,,no_image.png,standard
